video_file,label,frame_num,vehicle_id,class_name,centroid_x,centroid_y,bbox_width,bbox_height,speed_px_per_frame,avg_speed_5f,speed_drop_percent,direction_degrees,iou_with_nearest,trajectory_deviation_px,optical_flow_ratio,total_factor_score
sampleC.mp4,accident,45,5,car,315,82,25,22,1.0,0.832,38.743,0.0,0.0,1.0,0.7037,0
sampleC.mp4,accident,45,12,car,461,172,70,71,0.0,0.0,0.0,0.0,0.9832,0.0,0.7037,3
sampleC.mp4,accident,45,13,motorcycle,23,144,45,31,0.0,0.0,0.0,0.0,0.0,0.0,0.7037,0
sampleC.mp4,accident,46,1,car,461,172,71,71,0.0,0.2,0.0,0.0,0.0,0.0,2.0245,0
sampleC.mp4,accident,46,5,car,315,83,25,22,1.0,0.4,0.0,90.0,0.0,1.414,2.0245,0
sampleC.mp4,accident,46,13,motorcycle,34,141,46,32,11.402,5.701,0.0,-15.26,0.0,0.0,2.0245,0
sampleC.mp4,accident,47,1,car,461,173,71,70,1.0,0.4,0.0,90.0,0.0,1.0,1.3454,0
sampleC.mp4,accident,47,5,car,315,84,25,22,1.0,0.6,0.0,90.0,0.0,0.0,1.3454,0
sampleC.mp4,accident,47,13,motorcycle,37,139,48,33,3.606,5.002,0.0,-33.69,0.0,8.062,1.3454,0
sampleC.mp4,accident,48,1,car,461,173,70,70,0.0,0.2,0.0,0.0,0.0,1.0,1.6287,0
sampleC.mp4,accident,48,13,motorcycle,43,138,49,34,6.083,5.273,0.0,-9.46,0.0,3.162,1.6287,0
sampleC.mp4,accident,49,1,car,461,174,71,71,1.0,0.4,0.0,90.0,0.0,1.0,0.8718,0
sampleC.mp4,accident,49,13,motorcycle,44,139,47,32,1.414,4.501,0.0,45.0,0.0,5.385,0.8718,0
sampleC.mp4,accident,50,1,car,461,174,71,71,0.0,0.4,0.0,0.0,0.0,1.0,1.0497,0
sampleC.mp4,accident,50,13,motorcycle,54,139,45,31,10.0,6.501,0.0,0.0,0.0,9.055,1.0497,0
sampleC.mp4,accident,50,16,car,349,202,45,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0497,0
sampleC.mp4,accident,51,1,car,461,174,71,71,0.0,0.4,0.0,0.0,0.0,0.0,0.4947,0
sampleC.mp4,accident,51,13,motorcycle,57,138,45,31,3.162,4.853,40.023,-18.43,0.0,7.071,0.4947,0
sampleC.mp4,accident,51,16,car,350,203,42,35,1.414,0.707,0.0,45.0,0.0,0.0,0.4947,0
sampleC.mp4,accident,51,17,motorcycle,130,185,65,51,0.0,0.0,0.0,0.0,0.0,0.0,0.4947,0
sampleC.mp4,accident,52,1,car,461,174,70,71,0.0,0.2,0.0,0.0,0.0,0.0,1.3878,0
sampleC.mp4,accident,52,13,motorcycle,67,135,46,32,10.44,6.22,0.0,-16.7,0.0,7.28,1.3878,0
sampleC.mp4,accident,52,16,car,349,206,34,27,3.162,1.525,0.0,108.43,0.0,2.828,1.3878,0
sampleC.mp4,accident,52,17,motorcycle,117,185,73,58,13.0,6.5,0.0,180.0,0.0,0.0,1.3878,0
sampleC.mp4,accident,53,1,car,461,174,70,71,0.0,0.2,0.0,0.0,0.0,0.0,0.8129,0
sampleC.mp4,accident,54,1,car,462,174,70,71,1.0,0.2,0.0,0.0,0.0,1.0,1.3335,0
sampleC.mp4,accident,54,13,motorcycle,77,133,45,32,10.198,7.043,0.0,-11.31,0.0,1.0,1.3335,0
sampleC.mp4,accident,55,1,car,462,174,70,71,0.0,0.2,0.0,0.0,0.0,1.0,1.3385,0
sampleC.mp4,accident,55,5,car,315,85,25,22,1.0,0.8,0.0,90.0,0.0,0.0,1.3385,0
sampleC.mp4,accident,55,13,motorcycle,79,133,42,30,2.0,7.16,58.788,0.0,0.0,8.246,1.3385,0
sampleC.mp4,accident,56,1,car,461,173,70,70,1.414,0.483,0.0,-135.0,0.0,1.414,1.5312,0
sampleC.mp4,accident,56,5,car,315,84,25,23,1.0,1.0,0.0,-90.0,0.0,2.0,1.5312,0
sampleC.mp4,accident,58,1,car,461,172,71,71,1.0,0.683,0.0,-90.0,0.0,1.0,1.3255,0
sampleC.mp4,accident,58,5,car,315,84,25,23,0.0,0.8,0.0,0.0,0.0,1.0,1.3255,0
sampleC.mp4,accident,58,17,motorcycle,83,188,97,78,34.132,15.711,0.0,174.96,0.0,21.213,1.3255,0
sampleC.mp4,accident,59,1,car,461,172,71,71,0.0,0.683,0.0,0.0,0.0,1.0,0.5427,0
sampleC.mp4,accident,59,5,car,314,84,25,23,1.0,0.8,0.0,180.0,0.0,1.0,0.5427,0
sampleC.mp4,accident,59,17,motorcycle,82,185,104,86,3.162,12.574,0.0,-108.43,0.0,33.541,0.5427,0
sampleC.mp4,accident,60,1,car,461,172,70,71,0.0,0.483,0.0,0.0,0.0,0.0,0.9765,0
sampleC.mp4,accident,60,5,car,314,84,25,23,0.0,0.6,100.0,0.0,0.0,1.0,0.9765,2
sampleC.mp4,accident,60,17,motorcycle,76,192,92,77,9.22,11.903,0.0,130.6,0.0,11.18,0.9765,0
sampleC.mp4,accident,61,1,car,461,172,70,71,0.0,0.483,0.0,0.0,0.0,0.0,0.5563,0
sampleC.mp4,accident,61,5,car,314,84,25,23,0.0,0.4,0.0,0.0,0.0,0.0,0.5563,0
sampleC.mp4,accident,62,1,car,461,172,70,70,0.0,0.2,0.0,0.0,0.0,0.0,1.0552,0
sampleC.mp4,accident,64,1,car,460,172,70,70,1.0,0.2,0.0,180.0,0.0,1.0,2.0634,0
sampleC.mp4,accident,65,1,car,459,172,70,70,1.0,0.4,0.0,180.0,0.0,0.0,0.6348,0
sampleC.mp4,accident,65,5,car,312,84,25,23,2.0,0.6,0.0,180.0,0.0,2.0,0.6348,0
sampleC.mp4,accident,66,1,car,459,172,70,70,0.0,0.4,0.0,0.0,0.0,1.0,0.9011,0
sampleC.mp4,accident,67,1,car,459,172,71,70,0.0,0.4,0.0,0.0,0.0,0.0,0.6589,0
sampleC.mp4,accident,68,1,car,460,172,71,70,1.0,0.6,0.0,0.0,0.0,1.0,1.4075,0
sampleC.mp4,accident,69,1,car,460,172,70,70,0.0,0.4,0.0,0.0,0.0,1.0,0.7375,0
sampleC.mp4,accident,71,1,car,459,172,71,70,1.0,0.4,0.0,180.0,0.0,1.0,0.8134,0
sampleC.mp4,accident,71,2,car,337,167,101,84,0.0,0.0,0.0,0.0,0.0,0.0,0.8134,0
sampleC.mp4,accident,74,1,car,458,171,71,70,1.414,0.683,0.0,-135.0,0.0,1.0,0.8227,0
sampleC.mp4,accident,75,1,car,458,171,71,70,0.0,0.683,0.0,0.0,0.0,1.414,0.6527,0
sampleC.mp4,accident,76,1,car,457,172,72,70,1.414,0.766,0.0,135.0,0.0,1.414,1.136,0
sampleC.mp4,accident,77,1,car,457,172,72,70,0.0,0.766,0.0,0.0,0.0,1.414,0.5824,0
sampleC.mp4,accident,77,5,car,311,83,24,22,1.414,0.883,0.0,-135.0,0.0,1.414,0.5824,0
sampleC.mp4,accident,79,1,car,457,172,71,69,0.0,0.566,0.0,0.0,0.0,0.0,0.5517,0
sampleC.mp4,accident,80,1,car,457,172,72,69,0.0,0.283,0.0,0.0,0.0,0.0,1.0289,0
sampleC.mp4,accident,80,5,car,311,84,23,21,1.0,0.883,0.0,90.0,0.0,2.236,1.0289,0
sampleC.mp4,accident,81,1,car,457,172,72,69,0.0,0.283,0.0,0.0,0.0,0.0,1.0222,0
